Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,Customer Satisfaction
36,10,1994,Highway,Sunny,Truck,Medium,Weekday,86
49,18,2407,Urban,Sunny,Truck,Low,Weekday,80
58,14,2173,Suburban,Rainy,Truck,Low,Weekday,60
44,20,2419,Highway,Snowy,Truck,High,Weekday,64
40,17,2390,Highway,Rainy,Truck,Medium,Weekday,83
37,10,2058,Urban,Rainy,Truck,Medium,Weekday,70
58,27,2820,Suburban,Rainy,Truck,Medium,Weekday,62
50,22,2690,Highway,Sunny,Truck,Medium,Weekday,81
36,12,2055,Urban,Rainy,Truck,Medium,Weekday,67
55,10,1997,Highway,Sunny,Truck,High,Weekday,76
48,17,2419,Suburban,Snowy,Truck,Medium,Weekend,77
52,21,2491,Urban,Sunny,Truck,Medium,Weekday,71
40,20,2583,Suburban,Sunny,Truck,Medium,Weekday,71
40,12,2011,Suburban,Sunny,Truck,High,Weekday,71
53,22,2594,Highway,Rainy,Truck,Medium,Weekend,84
50,21,2645,Suburban,Sunny,Truck,Low,Weekday,98
33,14,2217,Highway,Rainy,Truck,Medium,Weekday,77
37,20,2406,Suburban,Rainy,Truck,Medium,Weekday,69
53,15,2162,Urban,Sunny,Truck,High,Weekday,91
32,8,1928,Suburban,Rainy,Truck,Medium,Weekday,85
51,8,1863,Highway,Rainy,Truck,High,Weekend,75
50,20,2492,Highway,Rainy,Truck,Low,Weekend,68
31,10,1999,Urban,Sunny,Truck,High,Weekday,86
53,25,2755,Urban,Sunny,Truck,Medium,Weekday,86
41,8,1796,Highway,Sunny,Truck,High,Weekday,73
59,15,2272,Urban,Sunny,Truck,Medium,Weekday,75
35,7,1890,Highway,Snowy,Truck,Medium,Weekday,82
31,8,1816,Urban,Sunny,Truck,High,Weekday,79
57,19,2474,Suburban,Rainy,Truck,Medium,Weekend,64
50,13,2130,Urban,Sunny,Truck,Medium,Weekend,96
30,11,1970,Highway,Sunny,Truck,Medium,Weekday,87
41,23,2686,Urban,Rainy,Truck,Medium,Weekday,80
55,18,2325,Highway,Rainy,Truck,Medium,Weekday,64
51,20,2408,Suburban,Sunny,Truck,Medium,Weekday,93
58,29,2864,Highway,Sunny,Truck,Medium,Weekday,93
