DRIVER_NUMBER,ROW_RANK,NAT,LEG_KEY,LEG_STOP_KEY,SHP_ID,ORD_NUM,STOP_NUM,STOP_TYPE,PWR_UNT_ID,TRL_UNT_ID,TRL_TYPE,ITINERARY_UPDATED,MILES_DRIVEN,FUEL_CONSUMPTION,AVERAGE_SPEED,TIME_AT_STOP,INCIDENTS,CUSTOMER_SATISFACTION
99580,5,2024-03-06 10:53:29,ST735145650_6,ST678599059_3_9,ST026874693,2106255939,10,P,55340,TA217661,Type A,2024-03-09 05:33:11,396.3,20.12,62.65,88,None,2
99580,3,2024-01-30 08:05:17,ST492109881_5,ST471477734_5_6,ST711391925,2144492062,10,NFR,58669,TA973580,,2024-02-26 21:55:21,247.97,39.22,52.64,100,None,2
99580,2,2024-02-07 13:06:05,ST190594313_0,ST664785124_2_2,ST624833392,2847363264,4,D,55997,TA595979,,2024-03-10 19:16:43,386.64,34.16,77.77,34,Mechanical Issue,3
99580,2,2024-02-28 03:28:52,ST640663736_4,ST380582544_8_8,ST906911686,2239627462,6,NFR,51610,TA727788,Type B,2024-03-16 06:40:21,71.98,47.56,74.06,91,None,3
99580,9,2024-03-19 11:39:08,ST834170047_7,ST092526628_0_6,ST164580193,2267391188,7,NFR,56257,TA998624,Type B,2024-03-12 10:23:55,369.68,28.67,61.28,113,None,4
99580,2,2024-02-12 12:52:53,ST058255393_1,ST609924472_0_6,ST813158098,2881343696,7,D,54166,TA598480,Type B,2024-01-08 12:44:35,92.72,24.05,48.87,62,Mechanical Issue,1
99580,7,2024-03-07 09:18:03,ST122050176_4,ST696992468_2_4,ST288113635,2274878146,5,NFR,58897,TA761777,Type B,2024-01-24 09:56:08,132.6,18.41,49.89,36,None,1
99580,9,2024-02-28 12:38:44,ST998703617_0,ST597785426_4_3,ST237324752,2310688061,10,P,56522,TA020882,Type B,2024-01-11 16:51:07,58.01,34.1,70.21,29,Minor Traffic Violation,5
99580,4,2024-02-13 14:01:50,ST135093373_4,ST769775205_2_1,ST666925817,2004410569,2,D,52651,TA723443,Type B,2024-01-08 08:50:14,372.71,27.63,67.67,75,None,1
99580,8,2024-04-05 17:58:32,ST174562922_7,ST581454938_6_8,ST876055024,2112424563,10,D,58950,TA636667,Type B,2024-01-08 17:33:45,281.12,29.0,40.04,111,Accident,4
35436,4,2024-01-07 14:25:08,ST165833209_6,ST975921112_0_3,ST125829071,2103962850,5,P,54077,TA332307,Type A,2024-01-07 00:17:35,437.76,11.53,57.31,44,None,1
35436,5,2024-01-08 17:27:03,ST905781255_2,ST532859601_4_7,ST167085621,2997366882,1,D,56332,TA379263,Type A,2024-01-12 14:56:33,413.49,37.33,52.41,60,Minor Traffic Violation,1
35436,3,2024-02-13 03:41:43,ST609730766_0,ST231909901_4_2,ST265861586,2235183377,6,D,59879,TA461193,,2024-02-27 08:49:17,478.86,42.02,50.69,23,None,5
